MRP - PO Suggestion
+----------+----+----------+-----------------------------------+------------------+--------------+----------+----------------------------------------+----+-------------------------+-----------------------+-----+-----------------+----+------------+---+----+----------+---+---+----------+---+------------------+----------------------------------------+---------+----------+----------+----------+----------+-------+----------+---------+----------+----------------------+
|Purch.doc.|Item|Vendor    |Vendor Name                        |Material          |      Quantity|Deliv.date|Material description                    |Plnt|Exception message        |Excep.msg.             |Curr.|        Net price|OPUn|     GR Qty.|ABC| PDT|SafetyTime|GRT|IPT|Ship Date |PGr|Purch. gp.        |Item text                               |Del. text|PO creatio|ETD.Seq.nu|ETD       |Confirmed.|Invoice|Last chang|User name|ETD Status|ETD Status Text       |
+----------+----+----------+-----------------------------------+------------------+--------------+----------+----------------------------------------+----+-------------------------+-----------------------+-----+-----------------+----+------------+---+----+----------+---+---+----------+---+------------------+----------------------------------------+---------+----------+----------+----------+----------+-------+----------+---------+----------+----------------------+
|4500656890|  10|LMI381    |MVEPLAST INDUSTRIA E COMERCIO LTDA |FBRLAL60000792    |    1,500.000 |01/23/2023|Casing plastic injection without screw  |277A|Cancel process           |                       |BRL  |        4.117029 |PC  |      0.000 |   | 27 |          | 0 | 0 |12/27/2022|P96|Douglas Sartorato |                                        |         |03/15/2022|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500656890|  20|LMI381    |MVEPLAST INDUSTRIA E COMERCIO LTDA |FBRLAL60000793    |    1,500.000 |01/23/2023|Cover for casing                        |277A|Cancel process           |                       |BRL  |        4.117029 |PC  |      0.000 |   | 27 |          | 0 | 0 |12/27/2022|P96|Douglas Sartorato |                                        |         |03/15/2022|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500659836|  30|LLM231    |LITE-ON MOBILE INDUSTRIA E COMERCIO|KP.045R3.003      |        1.000 |11/28/2022|AdapterLITE-ON45W19V1.1x3.0x7.7PA       |276A|Reschedule out (04/01/23)|Finish date in the past|BRL  |       34.376022 |PC  | 29,506.000 |   |  0 |          | 0 | 0 |11/28/2022|P23|Betania Correa    |                                        |         |03/28/2022|          |          |    0.000 |       |          |         |IN        |Invoiced              |
|4500665827|  10|LLM231    |LITE-ON MOBILE INDUSTRIA E COMERCIO|KP.045R3.003      |   35,000.000 |01/20/2023|AdapterLITE-ON45W19V1.1x3.0x7.7PA       |276A|Reschedule out (04/01/23)|                       |BRL  |        7.280000 |PC  |      0.000 |   |  0 |          | 0 | 0 |01/20/2023|P23|Betania Correa    |                                        |         |05/09/2022|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500669364|  20|LLR011    |LA RONDINE INDUSTRIA E COMERCIO DE |HA20X000210CU     |      200.000 |01/20/2023|CALÇO EPE EM U PARA ACER                |276A|Reschedule in (01/19/23) |                       |BRL  |        1.970000 |PC  |  3,000.000 |   |  0 |          | 0 | 0 |01/20/2023|P96|Douglas Sartorato |                                        |         |06/06/2022|          |          |    0.000 |       |          |         |IN        |Invoiced              |
|4500669364|  60|LLR011    |LA RONDINE INDUSTRIA E COMERCIO DE |HA35W000200       |      964.000 |01/20/2023|PIZZA BOX 35W 14' LOCAL BR              |276A|Reschedule in (01/19/23) |                       |BRL  |        9.270000 |PC  |  6,536.000 |   |  0 |          | 0 | 0 |01/20/2023|P96|Douglas Sartorato |                                        |         |06/06/2022|          |          |    0.000 |       |          |         |IN        |Invoiced              |
|4500669364| 130|LLR011    |LA RONDINE INDUSTRIA E COMERCIO DE |HE2K1000600F      |    5,800.000 |01/20/2023|EPE CUSHION 2K1 15' L R OCTAVIA BRAZIL  |276A|Reschedule out (02/15/23)|                       |BRL  |        3.480000 |PC  | 19,600.000 |   |  0 |          | 0 | 0 |01/20/2023|P96|Douglas Sartorato |                                        |         |06/06/2022|          |          |    0.000 |       |          |         |IN        |Invoiced              |
|4500669364| 170|LLR011    |LA RONDINE INDUSTRIA E COMERCIO DE |HE336000200F      |    5,310.000 |01/20/2023|PAPER PAD 336 ACC BOX BR                |276A|Reschedule out (02/02/23)|                       |BRL  |        1.410000 |PC  | 15,440.000 |   |  0 |          | 0 | 0 |01/20/2023|P96|Douglas Sartorato |                                        |         |06/06/2022|          |          |    0.000 |       |          |         |IN        |Invoiced              |
|4500669364| 180|LLR011    |LA RONDINE INDUSTRIA E COMERCIO DE |HE35W000500       |    1,690.000 |01/20/2023|EPE CUSHION 35W 14' L/R LOCAL BR        |276A|Reschedule in (01/19/23) |                       |BRL  |        3.840000 |PC  | 13,200.000 |   |  0 |          | 0 | 0 |01/20/2023|P96|Douglas Sartorato |                                        |         |06/06/2022|          |          |    0.000 |       |          |         |IN        |Invoiced              |
|4500669364| 190|LLR011    |LA RONDINE INDUSTRIA E COMERCIO DE |HE35W000600       |      864.000 |01/20/2023|PAPER PAD 35W 14' ACC LOCAL BR          |276A|Reschedule in (01/19/23) |                       |BRL  |        1.740000 |PC  |  6,536.000 |   |  0 |          | 0 | 0 |01/20/2023|P96|Douglas Sartorato |                                        |         |06/06/2022|          |          |    0.000 |       |          |         |IN        |Invoiced              |
|4500678493|  50|LLR011    |LA RONDINE INDUSTRIA E COMERCIO DE |HA35W000200       |      285.000 |01/20/2023|PIZZA BOX 35W 14' LOCAL BR              |276A|Reschedule in (01/19/23) |                       |BRL  |        9.270000 |PC  |  7,520.000 |   |  0 |          | 0 | 0 |01/20/2023|P23|Betania Correa    |                                        |         |08/04/2022|          |          |    0.000 |       |          |         |IN        |Invoiced              |
|4500678493|  60|LLR011    |LA RONDINE INDUSTRIA E COMERCIO DE |HE35W000500       |    4,880.000 |01/20/2023|EPE CUSHION 35W 14' L/R LOCAL BR        |276A|Reschedule in (01/19/23) |                       |BRL  |        3.840000 |PC  | 10,720.000 |   |  0 |          | 0 | 0 |01/20/2023|P23|Betania Correa    |                                        |         |08/04/2022|          |          |    0.000 |       |          |         |IN        |Invoiced              |
|4500678493|  70|LLR011    |LA RONDINE INDUSTRIA E COMERCIO DE |HE35W000600       |      480.000 |01/20/2023|PAPER PAD 35W 14' ACC LOCAL BR          |276A|Reschedule in (01/19/23) |                       |BRL  |        1.740000 |PC  |  7,520.000 |   |  0 |          | 0 | 0 |01/20/2023|P23|Betania Correa    |                                        |         |08/04/2022|          |          |    0.000 |       |          |         |IN        |Invoiced              |
|4500682128|  10|MMLCIABR  |COMPANHIA BRASILEIRA DE SOLUCOES E |10.02             |        1.000 |08/25/2022|                                        |461E|Finish date in the past  |                       |BRL  |    1,610.000000 |EA  |      0.000 |   |  0 |          | 0 | 0 |08/25/2022|M64|MILANA M. DE SOUZA|                                        |         |08/25/2022|          |          |    0.000 |       |          |         |IN        |Invoiced              |
|4500682129|  10|MMLCIABR  |COMPANHIA BRASILEIRA DE SOLUCOES E |10.02             |        1.000 |08/25/2022|                                        |461E|Finish date in the past  |                       |BRL  |    3,000.500000 |EA  |      0.000 |   |  0 |          | 0 | 0 |08/25/2022|M64|MILANA M. DE SOUZA|                                        |         |08/25/2022|          |          |    0.000 |       |          |         |IN        |Invoiced              |
|4500682906|  10|M0015     |IEEE REGISTRATION AUTHORITY        |077-06158         |        1.000 |09/11/2022|Acess 2010 Sngl MVL                     |451K|Finish date in the past  |                       |USD  |    1,930.000000 |EA  |      0.000 |   |  0 |          | 0 | 0 |09/11/2022|P23|Betania Correa    |                                        |         |08/31/2022|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500684761|  10|LLR011    |LA RONDINE INDUSTRIA E COMERCIO DE |HA35W000200       |    1,553.000 |01/20/2023|PIZZA BOX 35W 14' LOCAL BR              |276A|Reschedule in (01/19/23) |                       |BRL  |        9.270000 |PC  | 14,447.000 |   |  0 |          | 0 | 0 |01/20/2023|P96|Douglas Sartorato |                                        |         |09/13/2022|          |          |    0.000 |       |          |         |IN        |Invoiced              |
|4500684761|  30|LLR011    |LA RONDINE INDUSTRIA E COMERCIO DE |HE20X000500F      |    2,529.000 |01/20/2023|CALÇO U EPE - Local                     |276A|Reschedule out (01/31/23)|                       |BRL  |        1.680000 |PC  |  4,500.000 |C  |  0 |          | 0 | 0 |01/20/2023|P96|Douglas Sartorato |                                        |         |09/13/2022|          |          |    0.000 |       |          |         |IN        |Invoiced              |
|4500684761|  50|LLR011    |LA RONDINE INDUSTRIA E COMERCIO DE |HE20X000400F      |      989.000 |01/20/2023|CALÇO LATERAL EPE 284X66X66MM - Local   |276A|Reschedule in (01/19/23) |                       |BRL  |        2.200000 |PC  |  8,991.000 |   |  0 |          | 0 | 0 |01/20/2023|P96|Douglas Sartorato |                                        |         |09/13/2022|          |          |    0.000 |       |          |         |IN        |Invoiced              |
|4500684761|  60|LLR011    |LA RONDINE INDUSTRIA E COMERCIO DE |HA20X000210CU     |    1,813.000 |01/20/2023|CALÇO EPE EM U PARA ACER                |276A|Reschedule in (01/19/23) |                       |BRL  |        1.970000 |PC  |  3,787.000 |   |  0 |          | 0 | 0 |01/20/2023|P96|Douglas Sartorato |                                        |         |09/13/2022|          |          |    0.000 |       |          |         |IN        |Invoiced              |
|4500684761|  70|LLR011    |LA RONDINE INDUSTRIA E COMERCIO DE |HA20X000210CL     |    2,000.000 |01/20/2023|CALÇO LATERAL EM EPE PARA ACER          |276A|Reschedule in (01/19/23) |                       |BRL  |        2.980000 |PC  |  3,600.000 |   |  0 |          | 0 | 0 |01/20/2023|P96|Douglas Sartorato |                                        |         |09/13/2022|          |          |    0.000 |       |          |         |IN        |Invoiced              |
|4500684761|  90|LLR011    |LA RONDINE INDUSTRIA E COMERCIO DE |HA218000220F      |    1,078.000 |01/20/2023|CAIXA UNIT P/ LOTUS - new logo intel    |276A|Reschedule in (01/19/23) |                       |BRL  |        6.720000 |PC  |  6,422.000 |   |  0 |          | 0 | 0 |01/20/2023|P96|Douglas Sartorato |                                        |         |09/13/2022|          |          |    0.000 |       |          |         |IN        |Invoiced              |
|4500684761| 220|LLR011    |LA RONDINE INDUSTRIA E COMERCIO DE |HE2K4000900F      |    2,390.000 |01/20/2023|EPE CUSHION 2K4 17' U LOCAL BR          |276A|Reschedule out (03/15/23)|                       |BRL  |        1.850000 |PC  |  2,500.000 |   |  0 |          | 0 | 0 |01/20/2023|P96|Douglas Sartorato |                                        |         |09/13/2022|          |          |    0.000 |       |          |         |IN        |Invoiced              |
|4500684761| 230|LLR011    |LA RONDINE INDUSTRIA E COMERCIO DE |HF3RJ000Y00       |      650.000 |01/20/2023|SLEEVE 3RJ ADT 65W 108X48 JADE BR       |276A|Reschedule out (03/18/23)|                       |BRL  |        1.140000 |PC  |  3,450.000 |   |  0 |          | 0 | 0 |01/20/2023|P96|Douglas Sartorato |                                        |         |09/13/2022|          |          |    0.000 |       |          |         |IN        |Invoiced              |
|4500686900|  10|LFM161    |FOXCONN MOEBG INDUSTRIA DE ELETRONI|451AR7BOL32       |    2,889.000 |10/30/2022|PCBA MB AK093 FH4AT I5 SRK05 4G BR HDMI |276A|Reschedule out (01/19/23)|Finish date in the past|BRL  |    2,025.785490 |PC  |      0.000 |C  |  0 |          | 0 | 0 |10/30/2022|P96|Douglas Sartorato |                                        |         |09/27/2022|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500686900|  20|LFM161    |FOXCONN MOEBG INDUSTRIA DE ELETRONI|435PC7BOL01       |    3,110.000 |10/30/2022|SMT IO/B SL031 GH51M 60                 |276A|Reschedule out (02/10/23)|Finish date in the past|BRL  |       23.020290 |PC  |      0.000 |   |  0 |          | 0 | 0 |10/30/2022|P96|Douglas Sartorato |                                        |         |09/27/2022|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500688386|  10|LFM161    |FOXCONN MOEBG INDUSTRIA DE ELETRONI|435P6YBOL01       |    4,543.000 |10/30/2022|SMT IO/B SK091 FH5AT UMA                |276A|Reschedule out (01/19/23)|Finish date in the past|BRL  |        4.080840 |PC  | 12,047.000 |   |  0 |          | 0 | 0 |10/30/2022|P96|Douglas Sartorato |                                        |         |10/08/2022|          |          |    0.000 |       |          |         |IN        |Invoiced              |
|4500688387|  10|LFM161    |FOXCONN MOEBG INDUSTRIA DE ELETRONI|451AR3BOLIB       |   10,862.000 |10/30/2022|PCBA MB AL181 GH51G N18 4G SRKT1 BRLC BR|276A|Reschedule out (02/12/23)|Finish date in the past|BRL  |    1,596.727940 |PC  |      0.000 |   |  0 |          | 0 | 0 |10/30/2022|P96|Douglas Sartorato |                                        |         |10/08/2022|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500688388|  10|LFM161    |FOXCONN MOEBG INDUSTRIA DE ELETRONI|451AR7BOL05       |    3,343.000 |10/30/2022|PCBA MB AK093 FH5AT I5 SRK05 4G BR HDMI |276A|Reschedule out (01/16/23)|Finish date in the past|BRL  |      780.371840 |PC  |      0.000 |   |  0 |          | 0 | 0 |10/30/2022|P96|Douglas Sartorato |                                        |         |10/08/2022|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500689047|  10|LFM161    |FOXCONN MOEBG INDUSTRIA DE ELETRONI|435PCIBOL02       |    2,200.000 |10/30/2022|SMT IO/B SL141 GH4UZ UMA TRIM           |276A|Reschedule out (01/19/23)|Finish date in the past|BRL  |        5.728100 |PC  |      0.000 |   |  0 |          | 0 | 0 |10/30/2022|P96|Douglas Sartorato |                                        |         |10/13/2022|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500689050|  10|LFM161    |FOXCONN MOEBG INDUSTRIA DE ELETRONI|451AQFBOLC3       |    1,115.000 |10/30/2022|PCBA MB AL151 GH4UT I5 SRK05 8G BR HDMI |276A|Reschedule out (01/19/23)|Finish date in the past|BRL  |    1,062.994290 |PC  |      0.000 |   |  0 |          | 0 | 0 |10/30/2022|P96|Douglas Sartorato |                                        |         |10/13/2022|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500689051|  10|LFM161    |FOXCONN MOEBG INDUSTRIA DE ELETRONI|451AQFBOLC7       |      719.000 |10/30/2022|PCBA MB AL151 GH4UT I7 SRK02 16G BR HDMI|276A|Reschedule out (01/19/23)|Finish date in the past|BRL  |    1,641.320650 |PC  |      0.000 |   |  0 |          | 0 | 0 |10/30/2022|P96|Douglas Sartorato |                                        |         |10/13/2022|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500689052|  10|LFM161    |FOXCONN MOEBG INDUSTRIA DE ELETRONI|451AR3BOLIB       |      300.000 |10/30/2022|PCBA MB AL181 GH51G N18 4G SRKT1 BRLC BR|276A|Reschedule out (04/01/23)|Finish date in the past|BRL  |    1,405.120590 |PC  | 12,180.000 |   |  0 |          | 0 | 0 |10/30/2022|P96|Douglas Sartorato |                                        |         |10/13/2022|          |          |    0.000 |       |          |         |IN        |Invoiced              |
|4500689308|  60|LLR011    |LA RONDINE INDUSTRIA E COMERCIO DE |HA20X000210CU     |    1,000.000 |01/20/2023|CALÇO EPE EM U PARA ACER                |276A|Reschedule in (01/19/23) |                       |BRL  |        1.970000 |PC  |      0.000 |   |  0 |          | 0 | 0 |01/20/2023|P96|Douglas Sartorato |                                        |         |10/13/2022|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500689308|  70|LLR011    |LA RONDINE INDUSTRIA E COMERCIO DE |HA20X000210CL     |    1,000.000 |01/20/2023|CALÇO LATERAL EM EPE PARA ACER          |276A|Reschedule in (01/19/23) |                       |BRL  |        2.980000 |PC  |      0.000 |   |  0 |          | 0 | 0 |01/20/2023|P96|Douglas Sartorato |                                        |         |10/13/2022|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500689308|  90|LLR011    |LA RONDINE INDUSTRIA E COMERCIO DE |HA218000220F      |    3,000.000 |01/20/2023|CAIXA UNIT P/ LOTUS - new logo intel    |276A|Reschedule out (01/31/23)|                       |BRL  |        6.720000 |PC  |      0.000 |   |  0 |          | 0 | 0 |01/20/2023|P96|Douglas Sartorato |                                        |         |10/13/2022|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500689308| 100|LLR011    |LA RONDINE INDUSTRIA E COMERCIO DE |HE35W000500       |      605.000 |01/20/2023|EPE CUSHION 35W 14' L/R LOCAL BR        |276A|Reschedule out (02/03/23)|                       |BRL  |        3.840000 |PC  |  5,895.000 |   |  0 |          | 0 | 0 |01/20/2023|P96|Douglas Sartorato |                                        |         |10/13/2022|          |          |    0.000 |       |          |         |IN        |Invoiced              |
|4500689308| 110|LLR011    |LA RONDINE INDUSTRIA E COMERCIO DE |HE35W000600       |    1,026.000 |01/20/2023|PAPER PAD 35W 14' ACC LOCAL BR          |276A|Reschedule in (01/19/23) |                       |BRL  |        1.740000 |PC  |  2,474.000 |   |  0 |          | 0 | 0 |01/20/2023|P96|Douglas Sartorato |                                        |         |10/13/2022|          |          |    0.000 |       |          |         |IN        |Invoiced              |
|4500691387|  40|LLR011    |LA RONDINE INDUSTRIA E COMERCIO DE |15050-04165000    |   23,594.000 |01/19/2023|EPE CUSHION FOR X509//V1.0(BRA LOCAL BUY|271A|Reschedule out (02/05/23)|Finish date in the past|BRL  |        2.200000 |PC  | 19,006.000 |   |  0 |          | 0 | 0 |01/19/2023|P11|Julia Lorencini   |                                        |         |10/26/2022|          |          |    0.000 |       |          |         |IN        |Invoiced              |
|4500692045|  10|LFM161    |FOXCONN MOEBG INDUSTRIA DE ELETRONI|451AR7BOL31       |    1,818.000 |10/30/2022|PCBA MB AK093 FH4AT I3 SRK08 4G BR HDMI |276A|Reschedule out (01/19/23)|Finish date in the past|BRL  |      575.862390 |PC  |  2,670.000 |   |  0 |          | 0 | 0 |10/30/2022|P96|Douglas Sartorato |                                        |         |10/31/2022|          |          |    0.000 |       |          |         |IN        |Invoiced              |
|4500692046|  70|LFM161    |FOXCONN MOEBG INDUSTRIA DE ELETRONI|451AR7BOL32       |       93.000 |11/09/2022|PCBA MB AK093 FH4AT I5 SRK05 4G BR HDMI |276A|Reschedule out (03/02/23)|Finish date in the past|BRL  |      727.355380 |PC  |      0.000 |C  |  0 |          | 0 | 0 |11/09/2022|P96|Douglas Sartorato |                                        |         |10/31/2022|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
