Concat,"VLOOKUP(A2,[BRA2022111050006_INV_INV.xlsx]SISFAC!$R:$R,1,0)",Concat POLine,Project,PO,PN,PO Line,Description, Qty ,Unit price,Total,Plant,Concatenate,Huawei commitment (CPD),PL,ETA Foxconn,Modal,Status,Were used,Forecast
966000077203015BCM5000EMS02Q20000372HWA0015K,#N/A,9.66E+11,ONT,9660000772,03015BCM,10,"PCB,EchoLife ONT,HS8145VD,GPON Terminal",5000,3.5934,"17,967.00", 451U , 966000077203015BCM5000 ,11/6/2021,EMS02Q20000372HWA0015K,1/3/2022, AIR ,Delivered,03029TTY,7/1/2021
966000077203015BCM4950EMS02Q20000372HWA0011K,#N/A,9.66E+13,ONT,9660000772,03015BCM,1280,"PCB,EchoLife ONT,HS8145VD,GPON Terminal",4950,3.5394,"17,520.03", 451U , 966000077203015BCM4950 ,11/7/2021,EMS02Q20000372HWA0011K,1/3/2022, AIR ,Delivered,03029TTY,7/1/2021
966000079603015BCM10000EMS02Q20000394HWA0019K,#N/A,9.66E+11,ONT,9660000796,03015BCM,10,"PCB,EchoLife ONT,HS8145VD,GPON Terminal",10000,3.5394,"35,394.00", 451U , 966000079603015BCM10000 ,6/12/2021,EMS02Q20000394HWA0019K,2/1/2022, AIR ,Delivered,02313KTC-1,8/1/2021
966000085803015BCM100EMS02Q20000442HWA0004H,#N/A,9.66E+12,ONT,9660000858,03015BCM,120,"PCB,EchoLife ONT,HS8145VD,GPON Terminal",100,3.5394,353.94, 451U , 966000085803015BCM100 ,10/17/2021,EMS02Q20000442HWA0004H,1/4/2022, SEA ,Delivered,02313KTC-1,11/1/2021
966000087203013XVB10000EMS02Q20000451HWA0027H,#N/A,9.66E+11,ONT,9660000872,03013XVB,10,PCB EchoLife ONT HG8245WC GPON Terminal,10000,2.229,"22,290.00", 451U , 966000087203013XVB10000 ,10/30/2021,EMS02Q20000451HWA0027H,1/5/2022, SEA ,Delivered,02313BFA-2,12/1/2021
966000087203013XVB8720EMS02Q20000451HWA0028H,#N/A,9.66E+12,ONT,9660000872,03013XVB,390,PCB EchoLife ONT HG8245WC GPON Terminal,8720,2.229,"19,436.88", 451U , 966000087203013XVB8720 ,10/30/2021,EMS02Q20000451HWA0028H,1/5/2022, SEA ,Delivered,02313BFA-2,12/1/2021
96600009070405050510000EMS02Q20000474HWA0062H,#N/A,9.66E+11,ONT,9660000907,4050505,20,Signal Cable Outsourcing Cable 1.5m 8P8,10000,0.307,"3,070.00", 451U ,9.66E+22,11/5/2021,EMS02Q20000474HWA0062H,1/5/2022, SEA ,Delivered,02313BFA-2,1/1/2022
96600009070405050510000EMS02Q20000474HWA0063H,#N/A,9.66E+12,ONT,9660000907,4050505,780,Signal Cable Outsourcing Cable 1.5m 8P8,10000,0.307,"3,070.00", 451U ,9.66E+22,11/27/2021,EMS02Q20000474HWA0063H,1/21/2022, SEA ,Delivered,02313BFA-2,1/1/2022
96600009070405050510000EMS02Q20000474HWA0055H,#N/A,9.66E+12,ONT,9660000907,4050505,790,Signal Cable Outsourcing Cable 1.5m 8P8,10000,0.307,"3,070.00", 451U ,9.66E+22,10/27/2021,EMS02Q20000474HWA0055H,1/4/2022, SEA ,Delivered,02313BFA-2,1/1/2022
9660000910210806589TBD,#N/A,9.66E+11,ONT,9660000910,21080658,10,Sheet metal shielding protective shell-2,9,0.1922,1.7298, 451U ,9.66E+18,#N/A,TBD,6/30/2022, SEA ,Cancelled,02313BFA-2,1/1/2022
9660000910210806591TBD,#N/A,9.66E+11,ONT,9660000910,21080659,20,Sheet metal shielding protective shell-2,1,0.1933,0.1933, 451U ,9.66E+18,#N/A,TBD,6/30/2022, SEA ,Cancelled,02313BFA-2,1/1/2022
9660000910211261221TBD,#N/A,9.66E+11,ONT,9660000910,21126122,30,Small sheet metal hardware-21126122_DRAE,1,0.7056,0.7056, 451U ,9.66E+18,#N/A,TBD,6/30/2022, SEA ,Cancelled,02313BFA-2,1/1/2022
9660000910260202111000TBD,#N/A,9.66E+11,ONT,9660000910,26020211,40,SMT nut,1000,0.0586,58.6, 451U ,9.66E+21,#N/A,TBD,6/30/2022, SEA ,Cancelled,02313BFA-2,1/1/2022
96600009102701392411TBD,#N/A,9.66E+11,ONT,9660000910,27013924,50,Omnidirectional antenna-2.4GHz~2.5GHz-2d,11,0.1592,1.7512, 451U ,9.66E+19,#N/A,TBD,6/30/2022, SEA ,Cancelled,02313BFA-2,1/1/2022
9660000910270139255TBD,#N/A,9.66E+11,ONT,9660000910,27013925,60,Omnidirectional antenna-2.4GHz~2.5GHz-2d,5,0.1545,0.7725, 451U ,9.66E+18,#N/A,TBD,6/30/2022, SEA ,Cancelled,02313BFA-2,1/1/2022
96600009102701392625TBD,#N/A,9.66E+11,ONT,9660000910,27013926,70,Omnidirectional antenna-5.1GHz~5.9GHz-2d,25,0.1464,3.66, 451U ,9.66E+19,#N/A,TBD,6/30/2022, SEA ,Cancelled,02313BFA-2,1/1/2022
96600009102701392726TBD,#N/A,9.66E+11,ONT,9660000910,27013927,80,Omnidirectional antenna-5.1GHz~5.9GHz-2d,26,0.1557,4.0482, 451U ,9.66E+19,#N/A,TBD,6/30/2022, SEA ,Cancelled,02313BFA-2,1/1/2022
9660000910270139289TBD,#N/A,9.66E+11,ONT,9660000910,27013928,90,Omnidirectional antenna-5.1GHz~5.9GHz-2d,9,0.1487,1.3383, 451U ,9.66E+18,#N/A,TBD,6/30/2022, SEA ,Cancelled,02313BFA-2,1/1/2022
9660000910270139293TBD,#N/A,9.66E+12,ONT,9660000910,27013929,100,Omnidirectional antenna-5.1GHz~5.9GHz-2d,3,0.1638,0.4914, 451U ,9.66E+18,#N/A,TBD,6/30/2022, SEA ,Cancelled,02313BFA-2,1/1/2022
966000091003013XVB20TBD,#N/A,9.66E+12,ONT,9660000910,03013XVB,110,PCB EchoLife ONT HG8245WC GPON Terminal,20,2.229,44.58, 451U , 966000091003013XVB20 ,#N/A,TBD,6/30/2022, SEA ,Cancelled,02313BFA-2,1/1/2022
966000091408110012-0011000EMS02Q20000478HWA0009K,#N/A,9.66E+12,ONT,9660000914,08110012-001,610,"Solid SMD Al Capacitor,16V,100uF,+/-20%,",1000,0.0645,64.5, 451U , 966000091408110012-0011000 ,11/20/2021,EMS02Q20000478HWA0009K,1/3/2022, AIR ,Delivered,02313KTC-1,12/1/2021
966000091503013XVB5000EMS02Q20000479HWA0003H,#N/A,9.66E+12,ONT,9660000915,03013XVB,190,PCB EchoLife ONT HG8245WC GPON Terminal,5000,2.229,"11,145.00", 451U , 966000091503013XVB5000 ,11/1/2021,EMS02Q20000479HWA0003H,1/7/2022, SEA ,Cancelled,02312VMP-2,1/1/2022
966000091803013XVB5448EMS02Q20000480HWA0056H,#N/A,9.66E+11,ONT,9660000918,03013XVB,10,PCB EchoLife ONT HG8245WC GPON Terminal,5448,2.229,"12,143.59", 451U , 966000091803013XVB5448 ,11/1/2021,EMS02Q20000480HWA0056H,1/7/2022, SEA ,Cancelled,02313BFA-2,1/1/2022
96600009182701392612000EMS02Q20000480HWA0061H,#N/A,9.66E+12,ONT,9660000918,27013926,230,Omnidirectional antenna-5.1GHz~5.9GHz-2d,12000,0.1464,"1,756.80", 451U ,9.66E+22,11/4/2021,EMS02Q20000480HWA0061H,1/10/2022, SEA ,Cancelled,02313BFA-2,1/1/2022
96600009182701392812000EMS02Q20000480HWA0015H,#N/A,9.66E+12,ONT,9660000918,27013928,250,Omnidirectional antenna-5.1GHz~5.9GHz-2d,12000,0.1487,"1,784.40", 451U ,9.66E+22,10/27/2021,EMS02Q20000480HWA0015H,1/2/2022, SEA ,Cancelled,02313BFA-2,1/1/2022
966000091803013XVB10000EMS02Q20000480HWA0021H,#N/A,9.66E+12,ONT,9660000918,03013XVB,340,PCB EchoLife ONT HG8245WC GPON Terminal,10000,2.229,"22,290.00", 451U , 966000091803013XVB10000 ,11/1/2021,EMS02Q20000480HWA0021H,1/7/2022, SEA ,Cancelled,02313BFA-2,1/1/2022
966000091803013XVB10000EMS02Q20000480HWA0059H,#N/A,9.66E+12,ONT,9660000918,03013XVB,350,PCB EchoLife ONT HG8245WC GPON Terminal,10000,2.229,"22,290.00", 451U , 966000091803013XVB10000 ,11/1/2021,EMS02Q20000480HWA0059H,1/7/2022, SEA ,Cancelled,02313BFA-2,1/1/2022
966000091803013XVB10000EMS02Q20000480HWA0013H,#N/A,9.66E+12,ONT,9660000918,03013XVB,360,PCB EchoLife ONT HG8245WC GPON Terminal,10000,2.229,"22,290.00", 451U , 966000091803013XVB10000 ,11/1/2021,EMS02Q20000480HWA0013H,1/7/2022, SEA ,Cancelled,02313BFA-2,1/1/2022
966000091803013XVB10000EMS02Q20000480HWA0007H,#N/A,9.66E+12,ONT,9660000918,03013XVB,370,PCB EchoLife ONT HG8245WC GPON Terminal,10000,2.229,"22,290.00", 451U , 966000091803013XVB10000 ,11/1/2021,EMS02Q20000480HWA0007H,1/7/2022, SEA ,Cancelled,02313BFA-2,1/1/2022
96600009182701392612000EMS02Q20000480HWA0031H,#N/A,9.66E+12,ONT,9660000918,27013926,730,Omnidirectional antenna-5.1GHz~5.9GHz-2d,12000,0.1464,"1,756.80", 451U ,9.66E+22,10/28/2021,EMS02Q20000480HWA0031H,1/3/2022, SEA ,Cancelled,02313BFA-2,1/1/2022
96600009182701392712000EMS02Q20000480HWA0052H,#N/A,9.66E+12,ONT,9660000918,27013927,760,Omnidirectional antenna-5.1GHz~5.9GHz-2d,12000,0.1557,"1,868.40", 451U ,9.66E+22,10/26/2021,EMS02Q20000480HWA0052H,1/1/2022, SEA ,Cancelled,02313BFA-2,1/1/2022
96600009182701392812000EMS02Q20000480HWA0016H,#N/A,9.66E+12,ONT,9660000918,27013928,800,Omnidirectional antenna-5.1GHz~5.9GHz-2d,12000,0.1487,"1,784.40", 451U ,9.66E+22,11/3/2021,EMS02Q20000480HWA0016H,1/9/2022, SEA ,Cancelled,02313BFA-2,1/1/2022
96600009182701392812000EMS02Q20000480HWA0036H,#N/A,9.66E+12,ONT,9660000918,27013928,820,Omnidirectional antenna-5.1GHz~5.9GHz-2d,12000,0.1487,"1,784.40", 451U ,9.66E+22,11/10/2021,EMS02Q20000480HWA0036H,1/16/2022, SEA ,Cancelled,02313BFA-2,1/1/2022
96600009182701392912000EMS02Q20000480HWA0055H,#N/A,9.66E+12,ONT,9660000918,27013929,840,Omnidirectional antenna-5.1GHz~5.9GHz-2d,12000,0.1638,"1,965.60", 451U ,9.66E+22,11/4/2021,EMS02Q20000480HWA0055H,1/10/2022, SEA ,Cancelled,02313BFA-2,1/1/2022
96600009182701392912000EMS02Q20000480HWA0034H,#N/A,9.66E+12,ONT,9660000918,27013929,850,Omnidirectional antenna-5.1GHz~5.9GHz-2d,12000,0.1638,"1,965.60", 451U ,9.66E+22,10/26/2021,EMS02Q20000480HWA0034H,1/1/2022, SEA ,Cancelled,02313BFA-2,1/1/2022
96600009180405050510000EMS02Q20000480HWA0026H,#N/A,9.66E+12,ONT,9660000918,4050505,890,Signal Cable Outsourcing Cable 1.5m 8P8,10000,0.307,"3,070.00", 451U ,9.66E+22,10/27/2021,EMS02Q20000480HWA0026H,1/4/2022, SEA ,Delivered,02313BFA-2,1/1/2022
96600009180405050510000EMS02Q20000480HWA0074H,#N/A,9.66E+12,ONT,9660000918,4050505,900,Signal Cable Outsourcing Cable 1.5m 8P8,10000,0.307,"3,070.00", 451U ,9.66E+22,11/5/2021,EMS02Q20000480HWA0074H,1/5/2022, SEA ,Delivered,02313BFA-2,1/1/2022
966000092915050287-0065000EMS02Q20000483HWA0003K,#N/A,9.66E+12,ONT,9660000929,15050287-006,110,Audion PNP 140V 4000mA 650mW 60mV,5000,0.1323,661.5, 451U , 966000092915050287-0065000 ,11/5/2021,EMS02Q20000483HWA0003K,1/3/2022, AIR ,Delivered,02312VMP-2,1/1/2022
96600009300807103020000EMS02Q20000484HWA0019K,#N/A,9.66E+11,ONT,9660000930,8071030,80,"SMD Ceramic Capacitor,50V,0.0024nF,0.05p",20000,0.002,40, 451U ,9.66E+22,2/20/2022,EMS02Q20000484HWA0019K,3/16/2022, AIR ,Delivered,02313KTC-1,1/1/2022
966000093008110012-00139000EMS02Q20000484HWA0015K,#N/A,9.66E+13,ONT,9660000930,08110012-001,1060,"Solid SMD Al Capacitor,16V,100uF,+/-20%,",39000,0.0645,"2,515.50", 451U , 966000093008110012-00139000 ,11/20/2021,EMS02Q20000484HWA0015K,1/3/2022, AIR ,Delivered,02313KTC-1,1/1/2022
96600009300807103020000EMS02Q20000484HWA0018K,#N/A,9.66E+13,ONT,9660000930,8071030,1210,"SMD Ceramic Capacitor,50V,0.0024nF,0.05p",20000,0.002,40, 451U ,9.66E+22,12/24/2021,EMS02Q20000484HWA0018K,1/13/2022, AIR ,Delivered,02313KTC-1,1/1/2022
966000093203015BCM10000EMS02Q20000485HWA0010K,#N/A,9.66E+11,ONT,9660000932,03015BCM,10,"PCB,EchoLife ONT,HS8145VD,GPON Terminal",10000,3.5394,"35,394.00", 451U , 966000093203015BCM10000 ,12/28/2021,EMS02Q20000485HWA0010K,1/14/2022, AIR ,Delivered,02313KTC-1,2/1/2022
96600009321408057719900EMS02Q20000485HWA0025H,#N/A,9.66E+11,ONT,9660000932,14080577,20,"Network Port Connector,Single row,4-Port",19900,0.121,"2,407.90", 451U ,9.66E+22,10/27/2021,EMS02Q20000485HWA0025H,1/5/2022, SEA ,Delivered,02313KTC-1,2/1/2022
96600009321605009610000EMS02Q20000485HWA0026H,#N/A,9.66E+11,ONT,9660000932,16050096,50,Push Switch 2P2T 12VDC 1A THT 3.6mm,10000,0.1018,"1,018.00", 451U ,9.66E+22,10/23/2021,EMS02Q20000485HWA0026H,1/4/2022, SEA ,Delivered,02313KTC-1,2/1/2022
96600009322108041024900EMS02Q20000485HWA0027H,#N/A,9.66E+11,ONT,9660000932,21080410,60,"HG8145V5 aluminum heat sink, 21080410_dr",24900,0.1581,"3,936.69", 451U ,9.66E+22,10/30/2021,EMS02Q20000485HWA0027H,1/5/2022, SEA ,Delivered,02313KTC-1,2/1/2022
966000093221205330110EMS02Q20000485HWA0021H,#N/A,9.66E+11,ONT,9660000932,21205330,80,PlastIc parts 21205330 draen.asm HG8245W,110,1.6806,184.866, 451U ,9.66E+20,10/10/2021,EMS02Q20000485HWA0021H,1/4/2022, SEA ,Delivered,02313KTC-1,2/1/2022
9660000932212063831950EMS02Q20000485HWA0022H,#N/A,9.66E+11,ONT,9660000932,21206383,90,"EchoLife HG8145V5 plastic parts, 2120638",1950,1.1909,"2,322.26", 451U ,9.66E+21,11/3/2021,EMS02Q20000485HWA0022H,1/14/2022, SEA ,Delivered,02313KTC-1,2/1/2022
9660000932270140912705EMS02Q20000485HWA0032H,#N/A,9.66E+12,ONT,9660000932,27014091,100,"Omni-directional Antenna,2400~2500/5150~",2705,0.3113,842.0665, 451U ,9.66E+21,11/3/2021,EMS02Q20000485HWA0032H,1/5/2022, SEA ,Delivered,02313KTC-1,2/1/2022
96600009322701409217785EMS02Q20000485HWA0031H,#N/A,9.66E+12,ONT,9660000932,27014092,110,"Omni-directional Antenna,2400~2500/5150~",17785,0.3126,"5,559.59", 451U ,9.66E+22,11/3/2021,EMS02Q20000485HWA0031H,1/5/2022, SEA ,Delivered,02313KTC-1,2/1/2022
966000093203015BCM2692EMS02Q20000485HWA0015K,#N/A,9.66E+12,ONT,9660000932,03015BCM,130,"PCB,EchoLife ONT,HS8145VD,GPON Terminal",2692,3.5394,"9,528.06", 451U , 966000093203015BCM2692 ,12/4/2021,EMS02Q20000485HWA0015K,1/3/2022, AIR ,Delivered,02313KTC-1,2/1/2022
9660000932212063832000EMS02Q20000485HWA0011H,#N/A,9.66E+12,ONT,9660000932,21206383,150,"EchoLife HG8145V5 plastic parts, 2120638",2000,1.1909,"2,381.80", 451U ,9.66E+21,11/11/2021,EMS02Q20000485HWA0011H,1/25/2022, SEA ,Delivered,02313KTC-1,2/1/2022
9660000932212063832000EMS02Q20000485HWA0013H,#N/A,9.66E+12,ONT,9660000932,21206383,160,"EchoLife HG8145V5 plastic parts, 2120638",2000,1.1909,"2,381.80", 451U ,9.66E+21,11/26/2021,EMS02Q20000485HWA0013H,1/25/2022, SEA ,Delivered,02313KTC-1,2/1/2022
9660000932212063832000EMS02Q20000485HWA0016H,#N/A,9.66E+12,ONT,9660000932,21206383,170,"EchoLife HG8145V5 plastic parts, 2120638",2000,1.1909,"2,381.80", 451U ,9.66E+21,11/27/2021,EMS02Q20000485HWA0016H,2/3/2022, SEA ,Delivered,02313KTC-1,2/1/2022
9660000932212063832000EMS02Q20000485HWA0007H,#N/A,9.66E+12,ONT,9660000932,21206383,180,"EchoLife HG8145V5 plastic parts, 2120638",2000,1.1909,"2,381.80", 451U ,9.66E+21,11/7/2021,EMS02Q20000485HWA0007H,1/14/2022, SEA ,Delivered,02313KTC-1,2/1/2022
9660000932212063832000EMS02Q20000485HWA0006H,#N/A,9.66E+12,ONT,9660000932,21206383,190,"EchoLife HG8145V5 plastic parts, 2120638",2000,1.1909,"2,381.80", 451U ,9.66E+21,11/6/2021,EMS02Q20000485HWA0006H,1/14/2022, SEA ,Delivered,02313KTC-1,2/1/2022
9660000932212063832000EMS02Q20000485HWA0020H,#N/A,9.66E+12,ONT,9660000932,21206383,200,"EchoLife HG8145V5 plastic parts, 2120638",2000,1.1909,"2,381.80", 451U ,9.66E+21,11/28/2021,EMS02Q20000485HWA0020H,2/3/2022, SEA ,Delivered,02313KTC-1,2/1/2022
9660000932212063832000EMS02Q20000485HWA0012H,#N/A,9.66E+12,ONT,9660000932,21206383,210,"EchoLife HG8145V5 plastic parts, 2120638",2000,1.1909,"2,381.80", 451U ,9.66E+21,11/13/2021,EMS02Q20000485HWA0012H,1/25/2022, SEA ,Delivered,02313KTC-1,2/1/2022
9660000932212063832000EMS02Q20000485HWA0009H,#N/A,9.66E+12,ONT,9660000932,21206383,220,"EchoLife HG8145V5 plastic parts, 2120638",2000,1.1909,"2,381.80", 451U ,9.66E+21,11/10/2021,EMS02Q20000485HWA0009H,1/25/2022, SEA ,Delivered,02313KTC-1,2/1/2022
9660000932212063832000EMS02Q20000485HWA0004H,#N/A,9.66E+12,ONT,9660000932,21206383,230,"EchoLife HG8145V5 plastic parts, 2120638",2000,1.1909,"2,381.80", 451U ,9.66E+21,11/8/2021,EMS02Q20000485HWA0004H,1/14/2022, SEA ,Delivered,02313KTC-1,2/1/2022
9660000932212063832000EMS02Q20000485HWA0019H,#N/A,9.66E+12,ONT,9660000932,21206383,240,"EchoLife HG8145V5 plastic parts, 2120638",2000,1.1909,"2,381.80", 451U ,9.66E+21,11/17/2021,EMS02Q20000485HWA0019H,1/25/2022, SEA ,Delivered,02313KTC-1,2/1/2022
9660000932212063832000EMS02Q20000485HWA0002H,#N/A,9.66E+12,ONT,9660000932,21206383,250,"EchoLife HG8145V5 plastic parts, 2120638",2000,1.1909,"2,381.80", 451U ,9.66E+21,11/3/2021,EMS02Q20000485HWA0002H,1/14/2022, SEA ,Delivered,02313KTC-1,2/1/2022
9660000932212063832000EMS02Q20000485HWA0005H,#N/A,9.66E+12,ONT,9660000932,21206383,260,"EchoLife HG8145V5 plastic parts, 2120638",2000,1.1909,"2,381.80", 451U ,9.66E+21,11/5/2021,EMS02Q20000485HWA0005H,1/14/2022, SEA ,Delivered,02313KTC-1,2/1/2022
9660000932212063832000EMS02Q20000485HWA0003H,#N/A,9.66E+12,ONT,9660000932,21206383,270,"EchoLife HG8145V5 plastic parts, 2120638",2000,1.1909,"2,381.80", 451U ,9.66E+21,11/3/2021,EMS02Q20000485HWA0003H,1/14/2022, SEA ,Delivered,02313KTC-1,2/1/2022
9660000932212063832000EMS02Q20000485HWA0018H,#N/A,9.66E+12,ONT,9660000932,21206383,280,"EchoLife HG8145V5 plastic parts, 2120638",2000,1.1909,"2,381.80", 451U ,9.66E+21,11/12/2021,EMS02Q20000485HWA0018H,1/25/2022, SEA ,Delivered,02313KTC-1,2/1/2022
96600009321408057820000EMS02Q20000485HWA0023H,#N/A,9.66E+12,ONT,9660000932,14080578,300,"Network Port Connector,Single row,Single",20000,0.0274,548, 451U ,9.66E+22,10/23/2021,EMS02Q20000485HWA0023H,1/4/2022, SEA ,Delivered,02313KTC-1,2/1/2022
96600009321408057910000EMS02Q20000485HWA0029H,#N/A,9.66E+12,ONT,9660000932,14080579,310,"Network Port Connector,Single row,Single",10000,0.0887,887, 451U ,9.66E+22,11/3/2021,EMS02Q20000485HWA0029H,1/14/2022, SEA ,Delivered,02313KTC-1,2/1/2022
96600009321408057910000EMS02Q20000485HWA0024H,#N/A,9.66E+12,ONT,9660000932,14080579,340,"Network Port Connector,Single row,Single",10000,0.0887,887, 451U ,9.66E+22,10/23/2021,EMS02Q20000485HWA0024H,1/4/2022, SEA ,Delivered,02313KTC-1,2/1/2022
96600009321408057710000EMS02Q20000485HWA0030H,#N/A,9.66E+12,ONT,9660000932,14080577,350,"Network Port Connector,Single row,4-Port",10000,0.121,"1,210.00", 451U ,9.66E+22,11/18/2021,EMS02Q20000485HWA0030H,1/25/2022, SEA ,Cancelled,02313KTC-1,2/1/2022
96600009322701409127195EMS02Q20000485HWA0017H,#N/A,9.66E+12,ONT,9660000932,27014091,360,"Omni-directional Antenna,2400~2500/5150~",27195,0.3113,"8,465.80", 451U ,9.66E+22,10/30/2021,EMS02Q20000485HWA0017H,1/4/2022, SEA ,Delivered,02313KTC-1,2/1/2022
96600009322701409212115EMS02Q20000485HWA0001H,#N/A,9.66E+12,ONT,9660000932,27014092,370,"Omni-directional Antenna,2400~2500/5150~",12115,0.3126,"3,787.15", 451U ,9.66E+22,10/30/2021,EMS02Q20000485HWA0001H,1/4/2022, SEA ,Delivered,02313KTC-1,2/1/2022
966000093203015BCM6418EMS02Q20000485HWA0033K,#N/A,9.66E+12,ONT,9660000932,03015BCM,380,"PCB,EchoLife ONT,HS8145VD,GPON Terminal",6418,3.5394,"22,715.87", 451U , 966000093203015BCM6418 ,1/5/2022,EMS02Q20000485HWA0033K,2/10/2022, AIR ,Delivered,02313KTC-1,2/1/2022
966000093203015BCM4EMS02Q20000485HWA0034K,#N/A,9.66E+12,ONT,9660000932,03015BCM,390,"PCB,EchoLife ONT,HS8145VD,GPON Terminal",4,3.5394,14.1576, 451U , 966000093203015BCM4 ,1/5/2022,EMS02Q20000485HWA0034K,2/10/2022, AIR ,Delivered,02313KTC-1,2/1/2022
96600009390709082310000EMS02Q20000487HWA0017K,#N/A,9.66E+12,ONT,9660000939,7090823,170,Chip Thick Film Resistor 1/16W 180kohm,10000,0.0003,3, 451U ,9.66E+22,11/4/2021,EMS02Q20000487HWA0017K,1/3/2022, AIR ,Delivered,02312VMP-2,1/1/2022
9660000939070913088278EMS02Q20000487HWA0018K,#N/A,9.66E+13,ONT,9660000939,7091308,1370," ChipThickFilmResistor,0.0625W,20ohm,",8278,0.0005,4.139, 451U ,9.66E+21,,EMS02Q20000487HWA0018K,6/30/2022, AIR ,Cancelled,02312VMP-2,1/1/2022
966000094015050287-00620000EMS02Q20000488HWA0016K,#N/A,9.66E+13,ONT,9660000940,15050287-006,1310,Audion PNP 140V 4000mA 650mW 60mV,20000,0.1323,"2,646.00", 451U , 966000094015050287-00620000 ,11/17/2021,EMS02Q20000488HWA0016K,1/3/2022, AIR ,Delivered,02313BFA-2,1/1/2022
966000094015050287-00620000EMS02Q20000488HWA0020K,#N/A,9.66E+13,ONT,9660000940,15050287-006,1460,Audion PNP 140V 4000mA 650mW 60mV,20000,0.1323,"2,646.00", 451U , 966000094015050287-00620000 ,11/17/2021,EMS02Q20000488HWA0020K,1/3/2022, AIR ,Delivered,02313BFA-2,1/1/2022
966000094015050287-00614000EMS02Q20000488HWA0019K,#N/A,9.66E+13,ONT,9660000940,15050287-006,1470,Audion PNP 140V 4000mA 650mW 60mV,14000,0.1323,"1,852.20", 451U , 966000094015050287-00614000 ,12/3/2021,EMS02Q20000488HWA0019K,1/19/2022, AIR ,Delivered,02313BFA-2,1/1/2022
96600009410709145020000EMS02Q20000489HWA0002K,#N/A,9.66E+11,ONT,9660000941,7091450,10,Chip Thick Film Resistor 0.25W 0.068ohm,20000,0.0025,50, 451U ,9.66E+22,12/1/2021,EMS02Q20000489HWA0002K,1/4/2022, AIR ,Delivered,02313KTC-1,2/1/2022
966000094108070564380000EMS02Q20000489HWA0002K,#N/A,9.66E+11,ONT,9660000941,8070564,20,"Chip Multilayer Ceramic Capacitor,6.3V,4",380000,0.0025,950, 451U ,9.66E+23,12/1/2021,EMS02Q20000489HWA0002K,1/4/2022, AIR ,Delivered,02313KTC-1,2/1/2022
966000094108070612590000EMS02Q20000489HWA0002K,#N/A,9.66E+11,ONT,9660000941,8070612,30,SMD Ceramic Capacitor 10V 1000nF +/-10%,590000,0.0009,531, 451U ,9.66E+23,12/1/2021,EMS02Q20000489HWA0002K,1/4/2022, AIR ,Delivered,02313KTC-1,2/1/2022
966000094108070693540000EMS02Q20000489HWA0002K,#N/A,9.66E+11,ONT,9660000941,8070693,40,"High Capacity MLCC(1uf),6.3V,10000nF,+/-",540000,0.0067,"3,618.00", 451U ,9.66E+23,12/1/2021,EMS02Q20000489HWA0002K,1/4/2022, AIR ,Delivered,02313KTC-1,2/1/2022
96600009410807075275000EMS02Q20000489HWA0002K,#N/A,9.66E+11,ONT,9660000941,8070752,50,Chip Multilayer Ceramic Capacitor 6.3V 0,75000,0.001,75, 451U ,9.66E+22,12/1/2021,EMS02Q20000489HWA0002K,1/4/2022, AIR ,Delivered,02313KTC-1,2/1/2022
966000094108070819560000EMS02Q20000489HWA0002K,#N/A,9.66E+11,ONT,9660000941,8070819,60,SMD Ceramic Capacitor 6.3V 4700nF +/-20%,560000,0.0026,"1,456.00", 451U ,9.66E+23,12/1/2021,EMS02Q20000489HWA0002K,1/4/2022, AIR ,Delivered,02313KTC-1,2/1/2022
966000094108070962100000EMS02Q20000489HWA0002K,#N/A,9.66E+11,ONT,9660000941,8070962,70,SMD Ceramic Capacitor 25V 1000nF +/-10%,100000,0.0054,540, 451U ,9.66E+23,12/1/2021,EMS02Q20000489HWA0002K,1/4/2022, AIR ,Delivered,02313KTC-1,2/1/2022
96600009410807103040000EMS02Q20000489HWA0017K,#N/A,9.66E+11,ONT,9660000941,8071030,80,"SMD Ceramic Capacitor,50V,0.0024nF,0.05p",40000,0.002,80, 451U ,9.66E+22,2/20/2022,EMS02Q20000489HWA0017K,3/16/2022, AIR ,Delivered,02313KTC-1,2/1/2022
966000094108072343150000EMS02Q20000489HWA0002K,#N/A,9.66E+11,ONT,9660000941,8072343,90,SMD ceramicCapacitor 6.3V 100nF +/-10%,150000,0.0006,90, 451U ,9.66E+23,12/1/2021,EMS02Q20000489HWA0002K,1/4/2022, AIR ,Delivered,02313KTC-1,2/1/2022
96600009411001109019040EMS02Q20000489HWA0002K,#N/A,9.66E+12,ONT,9660000941,10011090,100,High Frequency Inductor 47uH +/-10% 2.3A,19040,0.0785,"1,494.64", 451U ,9.66E+22,12/1/2021,EMS02Q20000489HWA0002K,1/4/2022, AIR ,Delivered,02313KTC-1,2/1/2022
96600009411003161540000EMS02Q20000489HWA0005K,#N/A,9.66E+12,ONT,9660000941,10031615,110,"SMT Inductor,2.2uH,+/-20%,0.039ohm,4.9A,",40000,0.0284,"1,136.00", 451U ,9.66E+22,12/1/2021,EMS02Q20000489HWA0005K,1/3/2022, AIR ,Delivered,02313KTC-1,2/1/2022
